257119,151241,118493,120613,127152,154973,477605,782283,1485493,525250,207198,207054
193559,113664,126663,110591,111815,146442,209609,967284,1609695,827091,332140,169757
178205,133221,132914,146961,118934,148831,698498,2091792,2661512,828915,468615,228623
147931,127855,141238,147591,116876,155301,247356,735045,1748578,538026,336357,158913
158155,149548,114450,126174,92977,124986,233005,635206,471856,296483,160207,184805
222309,123388,106044,103303,98486,170700,313275,864182,971223,415509,290530,136654
122300,120507,124610,114375,105055,150475,350007,1302502,1290921,319578,190675,95490
111145,110473,97605,113390,124879,144086,312835,1326149,3105444,2197305,700742,311380
269083,206992,178739,135869,165992,195677,457899,2086511,1819801,363585,194032,180826
154524,140623,128344,116658,114709,132537,194863,723724,1435056,408493,248770,153453
271032,149509,104731,103807,102913,220970,594915,928036,1520449,462369,189045,142814
157769,126371,107253,89850,97838,141539,198135,832132,1023011,302056,224215,377312
365243,199352,140805,125095,182700,156325,946380,1737422,1872421,1016160,304299,197973
206670,157243,122246,124423,150874,171740,264069,748798,624113,267288,259588,210664
137308,132790,97592,95582,89565,114175,224344,1072315,1150590,508067,325785,174184
140402,133161,136567,132765,112475,135395,443109,1328412,2176105,1429064,545366,384260
318517,171383,156449,117544,107797,187086,360526,842686,686614,332721,193311,171125
184244,115835,128098,111010,108719,160668,257996,712084,1160007,572982,231090,218247
182298,175428,214845,171661,171457,156782,216646,764914,1633381,532393,453740,181274
216159,206858,211524,234605,155326,228736,588525,1216323,1089777,664217,272833,259001
337522,244931,211565,203064,190175,239281,302370,1575656,1777539,779804,342800,400394
349664,267288,253631,278327,279312,360764,579339,911598,1633696,768478,336319,321162
265617,209881,215128,195853,190199,237322,247002,734352,1273598,358830,186998,251957
303804,239812,239036,235090,166051,194965,255266,1368127,1832670,998983,413941,237330
223175,179887,239828,267105,259748,333421,345501,1340570,1212230,504796,244033,187035
178400,186174,173994,200187,182480,213654,322090,1029602,1713365,1127843,334983,220998
223555,220854,229039,200031,179861,186653,260373,853600,974784,488866,258272,214134
230696,146934,164682,162308,122391,115904,168093,387777,483349,218994,141006,140616
149173,102500,112273,114003,109031,163524,376825,1010468,1966312,859249,255081,207131
204210,154901,188283,194321,219186,313314,504505,1481190,2009774,1014799,380772,249281
223329,143546,200073,207339,214937,228181,406987,1484585,1953459,727603,271328,240883
239667,197361,219320,197145,151633,163820,231488,526263,810651,365872,196206,226445
240972,162630,160319,154074,189295,246476,331526,1045840,1618364,948228,446036,387286
339304,254791,240703,225382,204588,249366,288999,1227491,3097927,1925753,779715,344207
324458,236753,267983,245910,280817,332438,492900,2697507,3052073,1645482,733958,459285
461296,309884,276722,310256,282760,418332,1003950,2134982,2002765,840096,387599,337619
453300,313028,314022,285716,285909,427162,839998,1674021,2028549,1179306,453644,436672
464545,355316,299338,259101,264088,345647,612690,1303262,1032506,481614,334690,251455
256891,218493,191546,155604,193796,249439,395960,852182,1123082,415268,233132,230833
200220,155438,134365,130971,141056,243807,427737,782294,779418,391596,277754,176284
189656,126650,102616,106896,99863,134266,225062,520177,1001152,409700,185174,191463
202308,137250,94115,106471,137171,160346,258717,1011861,1447162,546247,314686,288646
230887,208574,177842,149098,142398,172682,374244,1053429,864966,469144,281466,232840
202061,165704,117641,126886,160630,313701,484506,2043197,2151655,1012608,427257,319035
283661,234017,210233,186500,140717,195297,333551,1019246,934276,320680,221068,221464
241811,162664,160818,142912,138267,250414,375926,1125049,2641019,2194934,661110,333906
359137,292725,257315,226458,219060,251948,511278,1582136,1579569,695612,275949,296817
292515,249098,221099,239356,236571,406571,625379,1775275,2342368,892690,549225,468707
458074,310756,270252,259514,215624,305732,485301,1425095,1200658,754903,368932,265708
292370,225413,153958,169874,150423,197171,265177,912317,1379291,710906,516531,367630
312415,184932,166797,155111,137589,176639,403218,1161865,919717,386397,244533,239680
197167,153545,145177,134748,125722,167579,268371,1002185,800012,366938,279859,212946
195431,146697,127303,126447,109538,138866,238536,396151,370584,183796,143092,158115
173342,120580,98272,100410,91624,125519,245035,1070553,1265252,424273,246083,248305
172844,129488,114816,110169,105282,183134,334660,739708,661524,365450,204248,224636
264367,163550,133424,170860,155074,212467,553243,1423670,1465412,654585,325285,241561
300098,196546,158244,165726,137764,193722,591619,1252129,1009762,493824,302365,271201
368076,212322,227606,205876,170778,289867,406394,1043344,914959,402640,290213,271095
293122,182797,197591,201192,232292,201619,545603,1707899,2171751,952319,387748,281908
247227,179838,166439,176401,160499,217040,463084,1767291,1506079,720857,290031,216225
223683,153205,132820,130678,125034,153007,403341,918203,1476919,423412,324932,186135
223219,158437,159152,143241,143368,228244,469031,1278920,2772375,1699381,455866,316262
282859,191565,196046,166133,136836,216228,360026,501194,378012,257956,178523,159026
151941,105293,109462,102909,105708,132026,197327,843398,921361,349214,230616,317165
